car_id,source_type,data_role,listing_id,source_url,car_name,title_full,price_chf,registration,age_years,fuel_type,mileage_km,power_ps,transmission,consumption_raw,drive_type,body_type,condition_text,original_price_chf,mfk_included,accident_damage,warranty,warranty_text,seller_name,optional_equipment_count,standard_equipment_count,service_keyword_count,price_score,mileage_score,age_score,condition_score,service_history_score,accident_risk_score,seller_trust_score,value_for_money_indicator,confidence_score,baseline_recommendation_score,budget_mode_score,reliability_mode_score,baseline_label
R01,real_autoscout24,real_market_sample,20446206,https://www.autoscout24.ch/en/d/20446206,BMW M850i xDrive HAMANN CARBON 4x4,"BMW M850i xDrive HAMANN CARBON 4x4 Fahrzeug mit 12/24 Monate Garantie, Driving Assistant Professional, Parking Assistant Plus, BMW Laserlicht, Wärmekomfort Pake",65900.0,08/2020,5.75,Petrol,32620.0,530.0,Automatic,,All-wheel (4x4),Sedan,Used,195900.0,Yes,No,Yes,"From delivery, 12 months or 20'000 km",I.B.A. Automobile AG,31,70,3,2.01,8.37,5.21,7.73,9.6,1.2,9.55,5.73,10.0,69.1,61.8,76.0,Recommend
R02,real_autoscout24,real_market_sample,20449827,https://www.autoscout24.ch/en/d/20449827,VW e-up! *** EDITION & INKL. WINTERRÄDER,VW e-up! *** EDITION & INKL. WINTERRÄDER *** RÜCKFAHRKAMERA // MULTIFUNKTIONSLEDERLENKRAD // WINTER-PAKET & SITZHIEZUNG // SPUR ASSIST & VIELES MEHR !!!,19700.0,06/2024,1.92,Electric,20.0,83.0,Automatic,,Front-wheel drive,Sedan,New vehicle with daily registration,,Yes,No,Yes,"From 1st registration, 24 months FORTLAUFENDE VW WERKSGARANTIE GEMÄSS HERSTELLERANGABEN",*** GARAGE REUSSER AG ***,3,83,2,8.61,10.0,8.4,9.22,9.9,1.2,9.2,8.48,10.0,91.8,91.3,92.2,Strongly Recommend
R03,real_autoscout24,real_market_sample,20434529,https://www.autoscout24.ch/en/d/20434529,BMW M5,BMW M5 BMW Individuallackierung - HiFi Professional - Pano-Glasdach - Softclose - M Drive - BBS Felgen - KW Fahrwerk - Garantie,34890.0,09/2012,13.67,Petrol,175900.0,560.0,Automated manual (AMT),9.9 l/100 km,Rear-wheel drive,Sedan,Used,159690.0,Yes,No,Yes,"From delivery, 12 months Lanker Approved",West Garage Lanker AG,29,2,4,6.44,1.21,0,5.17,10,2.41,9.9,4.02,10.0,55.6,52.8,58.8,Consider
R04,real_autoscout24,real_market_sample,20449901,https://www.autoscout24.ch/en/d/20449901,BMW 420d xDrive 48V Grand Coupé M-Sport,"BMW 420d xDrive 48V Grand Coupé M-Sport 4x4 FACELIFT Fahrzeug mit Werksgarantie, Gratisservice, FACELIFT, Driving Assistant Professional, Parking Assistant Plus, Glasdach, elektrisch",44900.0,04/2025,1.08,Mild hybrid (diesel/electric),17499.0,190.0,Automatic,,All-wheel (4x4),Sedan,Used,89000.0,Yes,No,Yes,"From 1st registration, 24 months or 100'000 km",I.B.A. Automobile AG,12,22,4,5.01,9.13,9.1,8.45,10,1.2,9.9,6.72,10.0,83.2,78.3,87.4,Strongly Recommend
R05,real_autoscout24,real_market_sample,20450429,https://www.autoscout24.ch/en/d/20450429,VW Golf 1.5 TSI eHYBRID 272PS GTE *** ÜBER,VW Golf 1.5 TSI eHYBRID 272PS GTE *** ÜBER 100KM ELEKTRISCHE REICHWEITE *** TOP AUSSTATTUNG INKL. ANHÄNGEKUPPLUNG & VIELEM MEHR,34700.0,06/2025,0.92,Plug-in hybrid (petrol/electric),4900.0,272.0,Automatic,6.5 l/100 km,Front-wheel drive,Sedan,Used,,Yes,No,Yes,"From 1st registration, 24 months",*** GARAGE REUSSER AG ***,32,56,1,6.47,9.76,9.24,9.22,8.2,1.2,8.85,8.26,10.0,85.3,82.9,87.3,Strongly Recommend
R06,real_autoscout24,real_market_sample,20450157,https://www.autoscout24.ch/en/d/20450157,AUDI A3 Sportback 2.0 40 TFSI S Line quattro,AUDI A3 Sportback 2.0 40 TFSI S Line quattro S-Tronic Audi Gratisservice - S-Line - LED Scheinwerfer - Sound System - Navi /Dab+ - Virtual Cockpit - Ambiente Paket - Werksgarantie,34890.0,05/2023,3.0,Petrol,40200.0,190.0,Automated manual (AMT),7 l/100 km,All-wheel (4x4),Sedan,Used,64885.0,Yes,No,Yes,"From 1st registration, 36 months or 100'000 km Werksgarantie",West Garage Lanker AG,31,8,5,6.44,7.99,7.5,8.17,10,1.2,9.9,7.03,10.0,81.9,78.7,84.9,Strongly Recommend
R07,real_autoscout24,real_market_sample,20438053,https://www.autoscout24.ch/en/d/20438053,VW Golf 2.0 TSI DSG GTI 245PS,VW Golf 2.0 TSI DSG GTI 245PS TOP-SPORT-AUSSTATTUNG // SPORTSITZE VORN // MÜDIGKEITSERKENNUNG // FRONT ASSIST // SPURHALTEASSISTENT // EINPARKHILFE // ANDROID & APPLE CAR PLAY,28500.0,04/2024,2.08,Petrol,17900.0,245.0,Automatic,7.3 l/100 km,Front-wheel drive,Sedan,Used,,Yes,No,Yes,"From 1st registration, 24 months",*** GARAGE REUSSER AG ***,8,74,2,7.36,9.11,8.26,8.07,8.9,1.2,9.2,7.74,10.0,83.9,82.9,85.1,Strongly Recommend
R08,real_autoscout24,real_market_sample,20438412,https://www.autoscout24.ch/en/d/20438412,SEAT Ibiza 1.5 TSI DSG FR,SEAT Ibiza 1.5 TSI DSG FR,17900.0,05/2024,2.0,Petrol,38900.0,150.0,Automatic,5.8 l/100 km,Front-wheel drive,Sedan,Used,,Yes,No,Yes,"From delivery, 12 months",*** GARAGE REUSSER AG ***,25,66,1,8.87,8.05,8.33,8.4,8.2,1.2,8.85,8.47,10.0,84.8,85.2,84.6,Strongly Recommend
R09,real_autoscout24,real_market_sample,20439904,https://www.autoscout24.ch/en/d/20439904,MERCEDES-BENZ E 450 d AMG Line 4matic /,MERCEDES-BENZ E 450 d AMG Line 4matic / Hyperscreen / Panorama / 360°Kamera Ab 1150.- CHF pro Monat ohne Anzahlung / Hyperscreen / Panorama / Burmester / 360°Kamera / Sitzbelüftung / HeadUp / AmbiLight,79890.0,01/2025,1.33,Diesel,36800.0,367.0,Automatic,5.9 l/100 km,All-wheel (4x4),Sedan,Used,110384.0,Yes,No,Yes,"From 1st registration, 36 months or 100'000 km",Carmotion AG,0,36,2,0.02,8.16,8.89,7.58,8.9,1.2,9.2,4.45,10.0,67.6,57.5,76.2,Recommend
R10,real_autoscout24,real_market_sample,20452350,https://www.autoscout24.ch/en/d/20452350,VW Golf 1.4 TSI Comfortline,VW Golf 1.4 TSI Comfortline *Frisch ab MFK*Frisch ab Service*8- Fach*Sitzheizung*PDC*Navi*Tempomat*Multifunktionslenkrad*Brems-Assist*,11990.0,08/2017,8.75,Petrol,92800.0,125.0,Manual transmission,5.2 l/100 km,Front-wheel drive,Sedan,Used,,Yes,No,Yes,"From delivery, 12 months or 20'000 km inkl.",Auto Luz AG,5,38,3,9.72,5.36,2.71,5.25,9.6,1.31,9.55,6.15,10.0,72.0,74.6,71.0,Recommend
