car_id,source_type,data_role,listing_id,source_url,car_name,title_full,price_chf,registration,age_years,fuel_type,mileage_km,power_ps,transmission,consumption_raw,drive_type,body_type,intended_category,condition_text,original_price_chf,mfk_included,accident_damage,warranty,warranty_text,seller_name,optional_equipment_count,standard_equipment_count,service_keyword_count,image_path,duplicate_adjustment_note,price_score,mileage_score,age_score,condition_score,service_history_score,accident_risk_score,seller_trust_score,value_for_money_indicator,confidence_score,recommendation_score,budget_mode_score,reliability_mode_score,recommendation_label
R01,real_autoscout24,real_market_sample,20494458,https://www.autoscout24.ch/en/d/20494458,BMW 420d xDrive 48V Grand Coupé M-Sport 4x4 FACELIFT,"BMW 420d xDrive 48V Grand Coupé M-Sport 4x4 FACELIFT Fahrzeug mit Werksgarantie, Gratisservice, FACELIFT, Driving Assistant Professional, Parking Assistant Plus, Glasdach, elektrisch",44900.0,04/2025,1.08,Mild hybrid (diesel/electric),17499.0,190.0,Automatic,-,All-wheel (4x4),Sedan,Sedan,Used,89000.0,Yes,No,Yes,"From 1st registration, 24 months or 100'000 km BMW Werksgarantie Quality1",I.B.A. Automobile AG,14,68,14,images/1.webp,,7.95,8.45,8.74,9.82,9.8,1.2,9.5,8.16,10.0,89.8,87.3,91.8,Strongly Recommend
R02,real_autoscout24,real_market_sample,20492235,https://www.autoscout24.ch/en/d/20492235,BMW 430i xDrive Gran Coupé M Sport LCI / Panorama-Schiebedach / Head-Up Display,BMW 430i xDrive Gran Coupé M Sport LCI / Panorama-Schiebedach / Head-Up Display Ab 699.- CHF pro Monat ohne Anzahlung / M Sport / LCI / Panorama- Schiebedach / Head-Up Display /,48480.0,12/2024,1.42,Petrol,19500.0,245.0,Automatic,7.2 l/100 km,All-wheel (4x4),Sedan,Sedan,Used,90520.0,Yes,No,Yes,"From 1st registration, 36 months or 100'000 km Leistungsstarke Fahrzeuggarantien Schutz vor hohen Reparaturkosten",Carmotion AG,28,53,15,images/2.webp,,7.35,8.27,8.32,9.99,9.8,1.2,9.1,7.89,10.0,87.7,84.5,90.4,Strongly Recommend
R03,real_autoscout24,real_market_sample,20494209,https://www.autoscout24.ch/en/d/20494209,MERCEDES-BENZ CLA 35 AMG 4matic / Facelift / Ambiente-Beleuchtung / Navi,MERCEDES-BENZ CLA 35 AMG 4matic / Facelift / Ambiente-Beleuchtung / Navi Ab 689.- CHF pro Monat ohne Anzahlung / Facelift / Ambiente-Beleuchtung / Navi / Rückfahrkamera,45890.0,01/2024,2.33,Petrol,49000.0,306.0,Automated manual (AMT),8.2 l/100 km,All-wheel (4x4),Sedan,Sedan,Used,77289.0,Yes,No,Yes,"From 1st registration, 36 months or 100'000 km Leistungsstarke Fahrzeuggarantien Schutz vor hohen Reparaturkosten",Carmotion AG,10,48,10,images/3.webp,,7.79,5.65,7.21,9.28,9.63,1.2,9.1,7.2,10.0,81.4,78.6,84.5,Strongly Recommend
R04,real_autoscout24,real_market_sample,20492991,https://www.autoscout24.ch/en/d/20492991,BMW 740d xDrive M Sport / Theatre Screen / Bowers&Wilkins / Iconic Glow,BMW 740d xDrive M Sport / Theatre Screen / Bowers&Wilkins / Iconic Glow Ab 1199.- CHF Pro Monat ohne Anzahlung / Theatre Screen / Bowers&Wilkins / Iconic Glow / HeadUp Display / Sky Lounge,94890.0,09/2024,1.67,Diesel,29900.0,286.0,Automatic,6.1 l/100 km,All-wheel (4x4),Sedan,Sedan,Used,178010.0,Yes,No,Yes,"From 1st registration, 36 months or 100'000 km Leistungsstarke Fahrzeuggarantien Schutz vor hohen Reparaturkosten",Carmotion AG,34,51,17,images/4.webp,,0.0,7.35,8.02,9.89,9.8,1.2,9.1,5.48,10.0,72.5,60.2,82.9,Recommend
R05,real_autoscout24,real_market_sample,20484337,https://www.autoscout24.ch/en/d/20484337,BMW 420d xDrive 48V Grand Coupé M-Sport 4x4 FACELIFT,"BMW 420d xDrive 48V Grand Coupé M-Sport 4x4 FACELIFT Fahrzeug mit Werksgarantie, Gratisservice, FACELIFT, Driving Assistant Professional, Parking Assistant Plus, Glasdach, elektrisch",47400.0,04/2025,1.58,Mild hybrid (diesel/electric),17499.0,190.0,Automatic,-,All-wheel (4x4),Sedan,Sedan,Used,89000.0,Yes,No,Yes,"From 1st registration, 24 months or 100'000 km BMW Werksgarantie Quality1",I.B.A. Automobile AG,12,68,14,images/5.webp,semi-synthetic variant of similar listing; price adjusted by 2500 CHF and age slightly adjusted,7.53,8.45,8.13,9.72,9.8,1.2,9.5,7.88,10.0,88.0,85.3,90.6,Strongly Recommend
R06,real_autoscout24,real_market_sample,20492692,https://www.autoscout24.ch/en/d/20492692,"MITSUBISHI Lancer 2.0 T MIVEC EVO Final E "" Fahrwerk und Felgen sind eingetragen""","MITSUBISHI Lancer 2.0 T MIVEC EVO Final E "" Fahrwerk und Felgen sind eingetragen""",39800.0,04/2015,11.08,Petrol,122620.0,295.0,Manual transmission,10.5 l/100 km,All-wheel (4x4),Sedan,Sedan,Used,39999.0,Yes,No,Yes,"From delivery, 12 months AGVS Garantie Quality1",Altenburg-Garage AG,0,27,10,images/6.webp,,8.81,0.0,0.0,7.7,9.03,1.79,9.5,4.58,10.0,61.0,60.6,65.3,Recommend
R07,real_autoscout24,real_market_sample,20494451,https://www.autoscout24.ch/en/d/20494451,"BMW i7 xDrive 60 (CH) Individual CH Fahrzeug mit Garantie und Gratisservice, Innovationspaket, Klima-Akustik","BMW i7 xDrive 60 (CH) Individual CH Fahrzeug mit Garantie und Gratisservice, Innovationspaket, Klima-Akustik Paket, Sky Lounge, Executive Drive Pro,",66900.0,05/2023,3.0,Electric,63900.0,544.0,Automatic,570 km,All-wheel (4x4),Sedan,Sedan,Used,201930.0,Yes,No,Yes,"From 1st registration, 48 months or 200'000 km BMW Werksgarantie. Quality1",I.B.A. Automobile AG,24,79,19,images/7.webp,,4.26,4.33,6.39,9.28,9.8,1.2,9.5,6.21,10.0,72.6,65.1,80.1,Recommend
R08,real_autoscout24,real_market_sample,20493379,https://www.autoscout24.ch/en/d/20493379,HYUNDAI Ioniq 6 77kWh Plus Line 325PS 4WD Automat,HYUNDAI Ioniq 6 77kWh Plus Line 325PS 4WD Automat Limousine mit 325 PS! Allrad! Bis zu 583km Reichweite!,34500.0,12/2025,0.42,Electric,25.0,325.0,Automatic transmission,583 km,All-wheel (4x4),Sedan,Sedan,New vehicle with,72750.0,Yes,No,Yes,"From 1st registration, 60 months or 100'000 km fortlaufende 5 Jahre Werksgarantie Description",Autopedia,1,114,12,images/8.webp,,9.7,10.0,9.55,10.0,10.0,1.2,9.1,9.13,10.0,96.7,96.5,96.3,Strongly Recommend
R09,real_autoscout24,real_market_sample,20485157,https://www.autoscout24.ch/en/d/20485157,BMW 330i xDrive M Sport SAG / LCI / 360°Kamera / HeadUp,BMW 330i xDrive M Sport SAG / LCI / 360°Kamera / HeadUp Ab 699.- CHF pro Monat ohne Anzahlung / LCI / 360°Kamera / HeadUp / Ambientebeleuchtung / 3Zonen-Klima /,46890.0,07/2025,0.83,Petrol,25500.0,245.0,Automatic,7 l/100 km,All-wheel (4x4),Sedan,Sedan,Used,84100.0,Yes,No,Yes,"From 1st registration, 36 months or 100'000 km Leistungsstarke Fahrzeuggarantien Schutz vor hohen Reparaturkosten",Carmotion AG,30,53,14,images/9.webp,,7.62,7.74,9.05,10.0,9.8,1.2,9.1,7.97,10.0,88.3,85.0,90.9,Strongly Recommend
R10,real_autoscout24,real_market_sample,20480611,https://www.autoscout24.ch/en/d/20480611,"BMW M3 Competition M xDrive FACELIFT 4x4 Fahrzeug mit Werksgarantie, Gratisservice, Innovationspaket, Aktive","BMW M3 Competition M xDrive FACELIFT 4x4 Fahrzeug mit Werksgarantie, Gratisservice, Innovationspaket, Aktive Sitzbelüftung vorn, Driving Assistant Professional",89900.0,08/2025,0.75,Petrol,5999.0,530.0,Automated manual (AMT),-,All-wheel (4x4),Sedan,Sedan,Used,150000.0,Yes,No,Yes,"From 1st registration, 24 months or 100'000 km BMW Werksgarantie Quality1",I.B.A. Automobile AG,19,100,18,images/10.webp,,0.4,9.47,9.14,10.0,9.8,1.2,9.5,6.01,10.0,78.6,67.2,87.9,Strongly Recommend
